field.status.status,field.latitude,field.longitude
0,33.59546908,130.21907427
1,33.5954692017,130.219074453
1,33.5954694233,130.219074505
1,33.5954694633,130.219074508
1,33.595469445,130.219074413
1,33.5954695733,130.219074207
1,33.5954697933,130.219073967
0,33.5954699283,130.219073813
0,33.5954700233,130.21907383
0,33.5954700833,130.219073837
0,33.5954700933,130.219073868
0,33.5954700633,130.219073928
0,33.5954699783,130.219073973
0,33.59546992,130.219073913
0,33.5954698583,130.219073847
0,33.59546984,130.219073833
0,33.5954698317,130.219073728
0,33.5954698283,130.21907365
0,33.5954697767,130.219073588
0,33.5954697333,130.219073555
0,33.5954697133,130.219073525
1,33.595469645,130.219073443
1,33.59546967,130.21907346
1,33.5954696617,130.219073458
1,33.5954697017,130.219073478
1,33.5954696717,130.219073448
1,33.5954696483,130.219073423
1,33.5954696083,130.2190734
1,33.5954695117,130.219073403
1,33.595469445,130.219073522
1,33.5954693767,130.219073713
1,33.5954692683,130.2190739
1,33.5954690433,130.21907396
1,33.5954688283,130.219073793
1,33.59546853,130.219073615
1,33.5954683233,130.219073582
1,33.5954680767,130.21907355
1,33.5954678333,130.219073362
1,33.5954675933,130.21907306
1,33.5954674867,130.219072882
1,33.5954674483,130.219072737
1,33.59546732,130.219072543
1,33.5954670567,130.219072297
1,33.5954667517,130.219072068
1,33.5954664817,130.219071845
1,33.595466285,130.219071558
1,33.5954661583,130.219071385
1,33.5954661617,130.219071388
1,33.59546619,130.219071442
1,33.5954661333,130.219071525
1,33.5954660517,130.219071595
1,33.59546596,130.219071583
1,33.5954658217,130.219071433
1,33.5954656533,130.21907119
1,33.5954654867,130.21907094
1,33.5954653433,130.219070793
1,33.595465205,130.219070787
1,33.5954651817,130.219070892
1,33.5954652483,130.219070953
1,33.5954653567,130.21907104
1,33.5954654383,130.219071115
1,33.5954654717,130.219071152
1,33.5954655033,130.219071167
1,33.595465545,130.21907121
1,33.595465525,130.219071215
1,33.5954655083,130.219071177
1,33.5954655,130.219071165
1,33.5954655283,130.219071225
1,33.5954655467,130.21907129
1,33.5954655867,130.21907127
1,33.5954656667,130.219071238
1,33.5954657633,130.219071163
1,33.5954658,130.219071157
1,33.5954658483,130.219071213
1,33.595465865,130.219071218
1,33.5954659417,130.219071385
1,33.5954659417,130.21907158
1,33.5954659933,130.219071762
1,33.5954660383,130.219071868
1,33.59546603,130.219072068
1,33.5954660133,130.219072245
1,33.595465905,130.219072212
1,33.5954658583,130.219072102
1,33.595465855,130.219071892
1,33.5954658333,130.2190717
1,33.5954658,130.219071607
1,33.5954657433,130.21907157
1,33.5954657167,130.21907158
1,33.5954657317,130.219071587
1,33.595465745,130.219071512
1,33.59546569,130.219071723
1,33.5954655883,130.219071958
1,33.59546557,130.219072392
1,33.5954655717,130.219072725
1,33.5954656,130.219072803
1,33.5954655417,130.219072835
1,33.5954655317,130.219072857
1,33.595465625,130.2190728
1,33.5954655217,130.219072642
1,33.5954653917,130.219072468
1,33.5954652733,130.219072355
1,33.5954651783,130.219072287
1,33.5954650967,130.219072282
1,33.5954650117,130.219072252
1,33.5954648583,130.219072315
1,33.595464695,130.219072467
1,33.5954644983,130.219072582
0,33.5954642017,130.219072572
1,33.59546394,130.219072483
1,33.5954638183,130.2190723
1,33.5954637667,130.219072177
1,33.595463735,130.219072122
1,33.5954637067,130.219072125
1,33.5954636617,130.219072203
1,33.595463545,130.219072377
1,33.59546342,130.21907261
1,33.5954633017,130.219072773
1,33.5954630883,130.219072745
1,33.59546275,130.219072243
1,33.5954625867,130.219071837
1,33.5954625683,130.219071768
1,33.5954626517,130.219071937
1,33.59546265,130.219072062
1,33.5954626317,130.219072247
1,33.595462565,130.219072297
1,33.5954625,130.21907225
1,33.59546248,130.219072358
1,33.5954624333,130.219072482
1,33.5954623,130.219072493
1,33.595462085,130.21907257
1,33.5954617517,130.219072865
1,33.5954614317,130.219073293
1,33.595460955,130.219073452
1,33.5954607617,130.219073495
1,33.5954608633,130.219073512
1,33.5954610817,130.219073453
1,33.5954619867,130.219073457
1,33.595462465,130.219073428
1,33.5954628067,130.219073317
1,33.5954625,130.219073218
1,33.5954623267,130.219073318
1,33.5954620867,130.21907357
1,33.5954617967,130.219073848
1,33.5954618817,130.219074267
