field.status.status,field.latitude,field.longitude
1,33.5954583434,130.219124224
1,33.5954583549,130.219124309
1,33.5954583367,130.219124479
1,33.5954583223,130.219124582
1,33.5954583274,130.219124558
1,33.5954583223,130.219124507
1,33.5954583403,130.21912448
1,33.595458338,130.219124459
1,33.5954583711,130.219124398
1,33.5954583724,130.219124396
1,33.5954583651,130.219124313
1,33.5954583916,130.219124307
1,33.5954584193,130.219124353
1,33.5954584026,130.219124391
1,33.5954583588,130.219124416
1,33.595458252,130.219124607
1,33.5954582161,130.219124809
1,33.595458236,130.219125001
1,33.5954582971,130.21912518
1,33.5954583576,130.21912519
1,33.595458346,130.219125119
1,33.5954583459,130.219124912
1,33.5954584086,130.219124659
1,33.5954584671,130.219124435
1,33.5954585125,130.219124168
1,33.5954585134,130.219123883
1,33.595458503,130.219123802
1,33.5954584893,130.219123833
1,33.5954584846,130.219123982
1,33.5954584779,130.219124185
1,33.595458469,130.21912435
1,33.5954583958,130.219124404
1,33.5954582579,130.219124537
1,33.5954582029,130.219124738
1,33.595458213,130.219124733
1,33.5954583092,130.219124449
1,33.5954584331,130.219124306
1,33.5954585599,130.219124173
1,33.5954586632,130.219124157
1,33.5954587576,130.219124153
1,33.5954588691,130.219124008
1,33.5954589917,130.219123669
1,33.595459086,130.219123521
1,33.5954590977,130.219123526
1,33.5954590209,130.219123555
1,33.5954589318,130.219123682
1,33.5954588328,130.219123886
1,33.5954587301,130.219124129
1,33.5954586582,130.219124471
1,33.5954586048,130.219124616
1,33.595458594,130.219124833
1,33.5954586492,130.219125169
1,33.5954587813,130.219125492
1,33.5954588792,130.219125901
1,33.5954589078,130.219126317
1,33.5954589323,130.219126494
1,33.5954589672,130.219126578
1,33.5954590604,130.219126934
1,33.5954591985,130.219127149
1,33.5954593753,130.219127172
1,33.5954595218,130.219127174
1,33.5954597399,130.21912724
1,33.5954599521,130.219127564
1,33.5954594677,130.219122612
1,33.5954597568,130.219122463
1,33.5954600497,130.219122493
1,33.5954602935,130.219123034
1,33.5954605606,130.219123682
1,33.5954608526,130.219124223
1,33.5954612206,130.219124649
1,33.5954615645,130.219125031
1,33.595461928,130.219125403
1,33.5954622597,130.219125678
1,33.5954625733,130.219126017
1,33.5954628767,130.219126469
1,33.595463166,130.219126798
1,33.5954633494,130.219127184
1,33.595463412,130.219127655
1,33.5954635392,130.219128049
1,33.5954638028,130.219128458
1,33.5954641531,130.219128972
1,33.5954646035,130.219129377
1,33.595464983,130.219129656
1,33.5954654534,130.219129788
1,33.5954659448,130.219129988
1,33.5954664207,130.219130289
1,33.5954670281,130.219130273
1,33.5954674577,130.219130286
1,33.5954679123,130.219130324
1,33.595468491,130.219130513
1,33.5954690484,130.219130747
1,33.5954696728,130.219131139
1,33.5954701877,130.219131607
1,33.595470691,130.219132093
1,33.595471275,130.219132563
1,33.5954718385,130.219133007
1,33.5954724753,130.219133373
1,33.5954729641,130.219133802
1,33.5954734136,130.219134191
1,33.5954739196,130.21913446
1,33.5954743951,130.219134517
1,33.5954750763,130.219134589
1,33.5954758175,130.219134624
