field.status.status,field.latitude,field.longitude
1,33.08734797,129.789951983
1,33.0873479467,129.789952035
1,33.0873478883,129.789952085
1,33.08734785,129.789952147
1,33.0873478333,129.789952225
1,33.0873477883,129.789952253
1,33.0873477817,129.789952278
1,33.0873478117,129.789952252
1,33.0873478383,129.789952212
1,33.08734782,129.789952173
1,33.0873478067,129.789952165
1,33.087347795,129.789952208
1,33.0873477733,129.789952233
1,33.087347765,129.78995227
1,33.0873477517,129.789952263
1,33.087347735,129.789952267
1,33.0873477333,129.789952278
1,33.0873477267,129.789952273
1,33.0873477267,129.789952265
1,33.0873477267,129.789952227
1,33.087347695,129.789952212
1,33.0873476983,129.789952218
1,33.087347665,129.78995218
1,33.08734765,129.789952192
1,33.087347615,129.78995222
1,33.0873475983,129.78995226
1,33.08734759,129.789952272
1,33.08734756,129.789952287
1,33.08734754,129.789952313
1,33.08734756,129.78995232
1,33.0873476183,129.789952328
1,33.0873476483,129.789952323
1,33.0873476517,129.78995233
1,33.08734767,129.789952332
1,33.0873476783,129.78995235
1,33.0873476933,129.789952353
1,33.0873477,129.789952382
1,33.0873477683,129.789952413
1,33.0873477667,129.789952458
1,33.0873477933,129.789952423
1,33.087347835,129.789952358
1,33.0873478983,129.789952338
1,33.087347975,129.789952402
1,33.0873480617,129.789952435
1,33.0873481783,129.789952543
1,33.087348245,129.789952583
1,33.0873481867,129.789952527
1,33.0873480983,129.78995245
1,33.0873480067,129.789952307
1,33.0873480917,129.789952202
1,33.087348195,129.789952175
1,33.0873481883,129.789952372
1,33.08734807,129.78995266
1,33.087347985,129.789952865
1,33.0873480117,129.789952908
1,33.0873480783,129.789952865
1,33.0873481617,129.789952832
1,33.0873481383,129.78995285
1,33.0873480567,129.789952905
1,33.08734801,129.789952935
1,33.08734808,129.78995286
1,33.0873481667,129.789952777
1,33.0873481583,129.789952762
1,33.0873482117,129.789952762
1,33.0873482983,129.789952833
1,33.0873483883,129.789952907
1,33.0873483083,129.78995284
1,33.08734823,129.789952773
1,33.0873483367,129.789952892
1,33.0873486817,129.789953208
1,33.0873488833,129.789953407
1,33.0873488067,129.789953558
1,33.0873486083,129.78995362
1,33.0873487333,129.789953662
1,33.0873490633,129.78995389
1,33.0873496,129.789954707
1,33.0873499783,129.789955632
1,33.0873502417,129.789956593
1,33.087350315,129.789957375
1,33.087350405,129.789958132
1,33.0873499167,129.789959183
1,33.08734876,129.789959943
1,33.087347155,129.789960077
1,33.0873455567,129.789960058
1,33.087344185,129.78995947
1,33.0873433733,129.789958542
1,33.08734278,129.789957807
1,33.0873429017,129.789956902
1,33.0873432167,129.789956112
1,33.087344035,129.789956188
1,33.0873451783,129.78995684
1,33.0873461583,129.789956963
1,33.0873467767,129.7899571
0,33.087347185,129.789957278
0,33.087347415,129.78995739
0,33.0873476533,129.789957357
0,33.0873479267,129.78995709
0,33.087348315,129.789956912
0,33.08734866,129.78995696
0,33.0873490083,129.789957257
0,33.08734938,129.789957688
0,33.0873498833,129.78995821
0,33.087350365,129.789958593
0,33.0873506183,129.789959257
0,33.087350865,129.789959833
0,33.08735126,129.789960285
0,33.0873518967,129.789960575
0,33.0873526483,129.78996083
0,33.0873534267,129.789961107
0,33.08735393,129.789961635
0,33.087354185,129.789962348
0,33.087354295,129.789963012
0,33.087354405,129.789963528
0,33.08735461,129.789963892
0,33.0873551217,129.78996437
0,33.0873557867,129.789965143
0,33.0873563783,129.789965882
0,33.0873566283,129.78996636
0,33.0873566883,129.789966987
0,33.087356795,129.789967827
0,33.087356995,129.789968387
0,33.0873573833,129.789968855
0,33.0873578867,129.789969438
0,33.087358645,129.789970373
0,33.0873594967,129.789971265
0,33.0873600567,129.789972018
0,33.0873605433,129.789972948
0,33.0873611,129.789974007
0,33.0873616983,129.789974893
0,33.0873624817,129.789975828
0,33.0873632317,129.789976623
0,33.0873639217,129.789977402
0,33.0873644333,129.789978335
0,33.0873649367,129.78997943
0,33.08736553,129.78998053
0,33.087366125,129.789981498
0,33.087366855,129.789982378
0,33.0873675717,129.789983153
0,33.087368155,129.789983885
0,33.087368665,129.789984802
0,33.08736914,129.789985905
0,33.0873697233,129.789986985
0,33.08737034,129.789988027
0,33.087370915,129.78998885
0,33.08737135,129.789989458
0,33.0873716017,129.789990062
0,33.0873716783,129.78999102
0,33.0873718733,129.789992253
0,33.0873722267,129.789993522
0,33.0873726383,129.789994633
0,33.0873733767,129.789995627
0,33.08737426,129.789996683
0,33.087375085,129.789997753
0,33.0873757217,129.78999886
0,33.0873761633,129.790000162
0,33.0873766517,129.790001382
0,33.087377255,129.790002525
0,33.0873779,129.79000357
0,33.087378605,129.79000457
0,33.0873792233,129.79000552
0,33.0873798367,129.790006628
0,33.0873803233,129.790007735
0,33.08738089,129.790008817
0,33.08738151,129.790009963
0,33.087382295,129.790011053
0,33.0873831533,129.79001203
0,33.0873839217,129.790013177
0,33.0873846117,129.790014485
0,33.0873854283,129.790015772
0,33.0873861,129.790016952
0,33.08738677,129.79001783
0,33.0873873033,129.790018755
0,33.087387735,129.790019727
0,33.0873883867,129.790020847
0,33.0873892267,129.790022118
0,33.087390055,129.790023313
0,33.087390685,129.790024463
0,33.0873911717,129.790025573
0,33.0873915217,129.790026692
0,33.08739202,129.790027457
0,33.0873926817,129.79002805
0,33.0873932083,129.79002846
0,33.087393625,129.790028978
0,33.0873937667,129.790029603
0,33.087393735,129.790030173
0,33.087393625,129.790030823
0,33.0873936133,129.790031463
0,33.087393885,129.790032078
0,33.087394285,129.7900328
0,33.0873946267,129.790033598
0,33.087394965,129.790034577
0,33.0873951383,129.790035313
0,33.087395385,129.790035822
0,33.087395595,129.790035763
0,33.0873958283,129.790035418
0,33.0873960833,129.790035127
0,33.0873962467,129.790035018
0,33.0873963333,129.790034947
0,33.0873963683,129.790034975
0,33.0873963133,129.7900351
0,33.0873961333,129.790035233
0,33.0873960133,129.790035328
0,33.087395995,129.7900354
0,33.0873960067,129.790035458
0,33.087396015,129.79003555
0,33.08739603,129.790035617
0,33.087396055,129.790035725
0,33.08739607,129.790035772
0,33.0873960733,129.790035827
0,33.0873960767,129.790035835
0,33.0873960383,129.790035817
0,33.08739597,129.79003579
0,33.0873959967,129.790035718
0,33.0873960083,129.790035673
0,33.0873959283,129.790035615
0,33.0873959,129.79003553
0,33.0873958817,129.790035452
0,33.0873958733,129.79003539
0,33.08739587,129.790035398
0,33.08739585,129.790035412
0,33.0873958667,129.790035445
0,33.0873958667,129.790035475
0,33.0873959583,129.790035507
0,33.0873960433,129.790035557
0,33.0873960933,129.790035578
0,33.0873960733,129.790035288
0,33.08739611,129.790035038
0,33.0873962783,129.79003487
0,33.0873966617,129.790034798
0,33.0873971383,129.790034702
0,33.0873977633,129.790034728
0,33.0873981233,129.790034988
0,33.0873983133,129.790035225
0,33.0873985483,129.790035293
0,33.0873989833,129.790035215
0,33.08739987,129.790035322
0,33.08740086,129.790035578
0,33.0874011867,129.790035798
0,33.0874009817,129.790035895
0,33.0874004517,129.790035903
0,33.0874006933,129.790036153
0,33.0874011317,129.790036117
1,33.08740164,129.790035533
1,33.0874014167,129.790035547
1,33.0874008267,129.790035548
1,33.0874002433,129.790035588
1,33.0874000433,129.790035675
1,33.08740016,129.790035698
1,33.0874002467,129.790035635
1,33.0874006917,129.790035878
1,33.08740097,129.790036035
1,33.0874007183,129.790035908
1,33.0874002617,129.790035765
1,33.0874000167,129.790035642
1,33.0874000283,129.79003545
1,33.0874001083,129.790035272
1,33.087400195,129.79003515
1,33.0874002417,129.790035073
1,33.0874003033,129.790035058
1,33.087400635,129.790035153
1,33.0874013417,129.790035152
1,33.0874021983,129.790035233
1,33.08740286,129.790035312
1,33.0874033967,129.790035647
1,33.0874037617,129.790036355
1,33.08740397,129.790037243
1,33.0874040783,129.79003837
1,33.08740429,129.790039525
1,33.0874047,129.790040635
1,33.0874053183,129.790041628
1,33.0874059183,129.790042695
1,33.0874063567,129.790043985
1,33.0874066967,129.790045147
1,33.0874070817,129.790046097
1,33.0874075833,129.790047203
1,33.0874083033,129.790048325
1,33.087409105,129.79004926
1,33.0874097567,129.790050292
1,33.0874101983,129.790051337
1,33.0874106067,129.790052185
1,33.08741098,129.790052885
1,33.087411495,129.790053665
1,33.0874121383,129.790054438
1,33.087412675,129.790055207
1,33.0874130967,129.790055892
1,33.087413345,129.790056555
1,33.0874134567,129.790057145
1,33.08741356,129.790057657
1,33.0874137917,129.790058228
1,33.0874140583,129.79005865
1,33.0874143583,129.790058888
1,33.0874145733,129.790059112
1,33.087414675,129.790059573
1,33.0874148167,129.790060238
1,33.0874150233,129.790061002
1,33.0874153917,129.790061877
1,33.087416095,129.790062818
1,33.087416955,129.790063693
1,33.08741767,129.790064585
1,33.0874181583,129.79006556
1,33.0874185367,129.79006654
1,33.0874188767,129.790067458
1,33.0874193483,129.790068307
1,33.0874199783,129.7900691
1,33.0874206417,129.790069805
1,33.0874212617,129.790070598
1,33.0874217517,129.790071407
1,33.0874222417,129.790072367
1,33.0874227867,129.790073372
1,33.0874233783,129.790074265
1,33.0874241067,129.790075225
1,33.0874248183,129.790076095
1,33.0874254467,129.790077038
1,33.0874259583,129.790077992
1,33.087426395,129.790078963
1,33.0874267667,129.790079885
1,33.0874272217,129.790080825
1,33.0874278967,129.79008168
1,33.08742861,129.790082523
1,33.0874292783,129.790083487
1,33.0874298717,129.790084565
1,33.0874304383,129.790085582
1,33.0874309667,129.790086502
1,33.0874315333,129.790087418
1,33.0874321567,129.790088167
1,33.087432685,129.790088802
1,33.0874330333,129.79008942
1,33.08743335,129.790089983
1,33.0874336283,129.790090618
1,33.0874339233,129.790091172
1,33.087434305,129.79009178
1,33.0874347883,129.790092423
